,budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
693,61000000,"[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 18, ""name"": ""Drama""}]",http://www.gonegirlmovie.com/,210577,"[{""id"": 818, ""name"": ""based on novel""}, {""id"": 5809, ""name"": ""marriage crisis""}, {""id"": 10941, ""name"": ""disappearance""}, {""id"": 11513, ""name"": ""cheating husband""}, {""id"": 156091, ""name"": ""missing person""}, {""id"": 169962, ""name"": ""search party""}, {""id"": 191199, ""name"": ""criminal lawyer""}, {""id"": 199073, ""name"": ""wife murder""}, {""id"": 207431, ""name"": ""murder suspect""}, {""id"": 222665, ""name"": ""missing wife""}]",en,Gone Girl,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",143.041543,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""New Regency Pictures"", ""id"": 10104}, {""name"": ""Pacific Standard"", ""id"": 15829}, {""name"": ""TSG Entertainment"", ""id"": 22213}, {""name"": ""Artemple - Hollywood"", ""id"": 60682}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-10-01,369330363,145.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,You don't know what you've got 'til it's...,Gone Girl,7.9,5862
274,103000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 12, ""name"": ""Adventure""}]",,98,"[{""id"": 588, ""name"": ""rome""}, {""id"": 1394, ""name"": ""gladiator""}, {""id"": 1395, ""name"": ""arena""}, {""id"": 1399, ""name"": ""senate""}, {""id"": 1405, ""name"": ""roman empire""}, {""id"": 2280, ""name"": ""emperor""}, {""id"": 2831, ""name"": ""slavery""}, {""id"": 10141, ""name"": ""battlefield""}, {""id"": 11221, ""name"": ""blood""}, {""id"": 14704, ""name"": ""ancient world""}, {""id"": 15300, ""name"": ""father daughter relationship""}, {""id"": 18543, ""name"": ""combat""}, {""id"": 157499, ""name"": ""mother son relationship""}, {""id"": 160840, ""name"": ""dream sequence""}, {""id"": 179780, ""name"": ""chariot""}, {""id"": 192230, ""name"": ""philosopher""}, {""id"": 235791, ""name"": ""barbarian horde""}, {""id"": 235792, ""name"": ""2nd century""}, {""id"": 235793, ""name"": ""successor""}]",en,Gladiator,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos. Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor. As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed. He escapes, but is captured by slave traders. Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences. His battle skills serve him well, and he becomes one of the most famous and admired men to fight in the Colosseum. Determined to avenge himself against the man who took away his freedom and laid waste to his family, Maximus believes that he can use his fame and skill in the ring to avenge the loss of his family and former glory. As the gladiator begins to challenge his rule, Commodus decides to put his own fighting mettle to the test by squaring off with Maximus in a battle to the death.",95.301296,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Scott Free Productions"", ""id"": 1645}, {""name"": ""Red Wagon Entertainment"", ""id"": 14440}, {""name"": ""Mill Film"", ""id"": 21904}, {""name"": ""C & L"", ""id"": 21905}, {""name"": ""Dawliz"", ""id"": 21906}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2000-05-01,457640427,155.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,A Hero Will Rise.,Gladiator,7.9,5439
2152,20000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",http://www.eternalsunshine.com,38,"[{""id"": 563, ""name"": ""deja vu""}, {""id"": 802, ""name"": ""regret""}, {""id"": 931, ""name"": ""jealousy""}, {""id"": 1453, ""name"": ""amnesia""}, {""id"": 1566, ""name"": ""dream""}, {""id"": 1604, ""name"": ""operation""}, {""id"": 5625, ""name"": ""relationship problems""}, {""id"": 9673, ""name"": ""love""}, {""id"": 10937, ""name"": ""memory""}, {""id"": 12400, ""name"": ""brainwashing""}, {""id"": 14534, ""name"": ""relationship""}, {""id"": 34265, ""name"": ""heartbreak""}, {""id"": 157171, ""name"": ""nonlinear timeline""}, {""id"": 204374, ""name"": ""love story""}, {""id"": 224279, ""name"": ""bittersweet""}]",en,Eternal Sunshine of the Spotless Mind,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",56.481487,"[{""name"": ""Anonymous Content"", ""id"": 10039}, {""name"": ""This Is That Productions"", ""id"": 10059}, {""name"": ""Focus Features"", ""id"": 10146}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-03-19,72258126,108.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,You can erase someone from your mind. Getting them out of your heart is another story.,Eternal Sunshine of the Spotless Mind,7.9,3652
1997,23000000,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 18, ""name"": ""Drama""}]",http://www.herthemovie.com/,152601,"[{""id"": 310, ""name"": ""artificial intelligence""}, {""id"": 6104, ""name"": ""computer""}, {""id"": 9673, ""name"": ""love""}, {""id"": 9957, ""name"": ""loneliness""}, {""id"": 12375, ""name"": ""transhumanism""}, {""id"": 34265, ""name"": ""heartbreak""}, {""id"": 40847, ""name"": ""near future""}, {""id"": 223540, ""name"": ""singularity""}, {""id"": 224279, ""name"": ""bittersweet""}]",en,Her,"In the not so distant future, Theodore, a lonely writer purchases a newly developed operating system designed to meet the user's every needs. To Theordore's surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.",53.682367,"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Annapurna Pictures"", ""id"": 13184}]","[{""iso_3166_1"": ""CN"", ""name"": ""China""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-12-18,47351251,126.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,A Spike Jonze Love Story,Her,7.9,4097
94,170000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",http://marvel.com/guardians,118340,"[{""id"": 8828, ""name"": ""marvel comic""}, {""id"": 9831, ""name"": ""spaceship""}, {""id"": 9882, ""name"": ""space""}, {""id"": 12405, ""name"": ""outer space""}, {""id"": 13014, ""name"": ""orphan""}, {""id"": 175428, ""name"": ""adventurer""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 180547, ""name"": ""marvel cinematic universe""}]",en,Guardians of the Galaxy,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",481.098624,"[{""name"": ""Marvel Studios"", ""id"": 420}, {""name"": ""Moving Picture Company (MPC)"", ""id"": 20478}, {""name"": ""Bulletproof Cupid"", ""id"": 54850}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-07-30,773328629,121.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,All heroes start somewhere.,Guardians of the Galaxy,7.9,9742
1725,28000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.warnerbros.com/blade-runner,78,"[{""id"": 310, ""name"": ""artificial intelligence""}, {""id"": 312, ""name"": ""man vs machine""}, {""id"": 679, ""name"": ""cyborg""}, {""id"": 801, ""name"": ""bounty hunter""}, {""id"": 803, ""name"": ""android""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 6017, ""name"": ""genetics""}, {""id"": 10718, ""name"": ""fugitive""}, {""id"": 12190, ""name"": ""cyberpunk""}, {""id"": 12670, ""name"": ""los angeles""}, {""id"": 178657, ""name"": ""tech noir""}, {""id"": 207268, ""name"": ""neo-noir""}]",en,Blade Runner,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",94.056131,"[{""name"": ""Shaw Brothers"", ""id"": 5798}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""The Ladd Company"", ""id"": 7965}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""HK"", ""name"": ""Hong Kong""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",1982-06-25,33139618,117.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""cn"", ""name"": ""\u5e7f\u5dde\u8bdd / \u5ee3\u5dde\u8a71""}, {""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}, {""iso_639_1"": ""hu"", ""name"": ""Magyar""}]",Released,Man has made his match... now it's his problem.,Blade Runner,7.9,3509
3158,11000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",https://www.facebook.com/alienanthology/,348,"[{""id"": 803, ""name"": ""android""}, {""id"": 1825, ""name"": ""countdown""}, {""id"": 1826, ""name"": ""space marine""}, {""id"": 1828, ""name"": ""space suit""}, {""id"": 1829, ""name"": ""beheading""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 6016, ""name"": ""biology""}, {""id"": 7956, ""name"": ""cowardice""}, {""id"": 9831, ""name"": ""spaceship""}, {""id"": 9882, ""name"": ""space""}, {""id"": 9951, ""name"": ""alien""}, {""id"": 11322, ""name"": ""female protagonist""}, {""id"": 12405, ""name"": ""outer space""}, {""id"": 157634, ""name"": ""parasite""}, {""id"": 181034, ""name"": ""h. r. giger""}, {""id"": 226177, ""name"": ""xenomorph""}]",en,Alien,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",94.184658,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Brandywine Productions"", ""id"": 19747}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",1979-05-25,104931801,117.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,In space no one can hear you scream.,Alien,7.9,4470
2105,20000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",,76203,"[{""id"": 1294, ""name"": ""whip""}, {""id"": 1930, ""name"": ""kidnapping""}, {""id"": 2831, ""name"": ""slavery""}, {""id"": 3136, ""name"": ""plantation""}, {""id"": 4225, ""name"": ""night shift""}, {""id"": 15189, ""name"": ""violin player""}, {""id"": 155794, ""name"": ""physical abuse""}, {""id"": 190477, ""name"": ""cotton""}, {""id"": 197643, ""name"": ""slave owner""}, {""id"": 207928, ""name"": ""19th century""}, {""id"": 209069, ""name"": ""sold into slavery""}, {""id"": 209070, ""name"": ""abolitionist""}]",en,12 Years a Slave,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",95.9229,"[{""name"": ""Plan B Entertainment"", ""id"": 81}, {""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""River Road Entertainment"", ""id"": 1246}, {""name"": ""Film4"", ""id"": 9349}, {""name"": ""New Regency Pictures"", ""id"": 10104}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",2013-10-18,187000000,134.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The extraordinary true story of Solomon Northup,12 Years a Slave,7.9,3674
298,100000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",http://www.thewolfofwallstreet.com/,106646,"[{""id"": 417, ""name"": ""corruption""}, {""id"": 572, ""name"": ""sex""}, {""id"": 738, ""name"": ""sexuality""}, {""id"": 974, ""name"": ""bank""}, {""id"": 3923, ""name"": ""humor""}, {""id"": 5565, ""name"": ""biography""}, {""id"": 5636, ""name"": ""wall street""}, {""id"": 5809, ""name"": ""marriage crisis""}, {""id"": 6974, ""name"": ""rise and fall""}, {""id"": 10631, ""name"": ""stockbroker""}, {""id"": 14964, ""name"": ""drug""}, {""id"": 179018, ""name"": ""stock broker""}]",en,The Wolf of Wall Street,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",95.007934,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Appian Way"", ""id"": 562}, {""name"": ""EMJAG Productions"", ""id"": 14654}, {""name"": ""Red Granite Pictures"", ""id"": 19177}, {""name"": ""Sikelia Productions"", ""id"": 23243}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-12-25,392000694,180.0,"[{""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,EARN. SPEND. PARTY.,The Wolf of Wall Street,7.9,6571
1490,32350000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://www.starwars.com/films/star-wars-episode-vi-return-of-the-jedi,1892,"[{""id"": 526, ""name"": ""rebel""}, {""id"": 1155, ""name"": ""brother sister relationship""}, {""id"": 2280, ""name"": ""emperor""}, {""id"": 2902, ""name"": ""space battle""}, {""id"": 5144, ""name"": ""matter of life and death""}, {""id"": 9831, ""name"": ""spaceship""}, {""id"": 10013, ""name"": ""death star""}, {""id"": 10014, ""name"": ""jabba the hutt""}, {""id"": 10015, ""name"": ""ewoks""}, {""id"": 10527, ""name"": ""jedi""}, {""id"": 161176, ""name"": ""space opera""}]",en,Return of the Jedi,"As Rebel leaders map their strategy for an all-out attack on the Emperor's newer, bigger Death Star. Han Solo remains frozen in the cavernous desert fortress of Jabba the Hutt, the most loathsome outlaw in the universe, who is also keeping Princess Leia as a slave girl. Now a master of the Force, Luke Skywalker rescues his friends, but he cannot become a true Jedi Knight until he wages his own crucial battle against Darth Vader, who has sworn to win Luke over to the dark side of the Force.",46.509071,"[{""name"": ""Lucasfilm"", ""id"": 1}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1983-05-23,572700000,135.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Empire Falls...,Return of the Jedi,7.9,4665
351,90000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",http://thedeparted.warnerbros.com/,1422,"[{""id"": 1568, ""name"": ""undercover""}, {""id"": 1680, ""name"": ""boston""}, {""id"": 6149, ""name"": ""police""}, {""id"": 9713, ""name"": ""friends""}, {""id"": 10391, ""name"": ""mafia""}, {""id"": 11199, ""name"": ""undercover cop""}, {""id"": 11578, ""name"": ""mobster""}, {""id"": 14617, ""name"": ""mole""}, {""id"": 177235, ""name"": ""state police""}, {""id"": 177258, ""name"": ""police training""}, {""id"": 177259, ""name"": ""realtor""}]",en,The Departed,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",63.429157,"[{""name"": ""Vertigo Entertainment"", ""id"": 829}, {""name"": ""Media Asia Films"", ""id"": 5552}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Initial Entertainment Group (IEG)"", ""id"": 7380}, {""name"": ""Plan B Entertainment"", ""id"": 45778}]","[{""iso_3166_1"": ""HK"", ""name"": ""Hong Kong""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2006-10-05,289847354,151.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""cn"", ""name"": ""\u5e7f\u5dde\u8bdd / \u5ee3\u5dde\u8a71""}]",Released,Lies. Betrayal. Sacrifice. How far will you take it?,The Departed,7.9,4339
571,70000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 10752, ""name"": ""War""}]",http://www.inglouriousbasterds-movie.com/,16869,"[{""id"": 90, ""name"": ""paris""}, {""id"": 1008, ""name"": ""guerrilla""}, {""id"": 1388, ""name"": ""cinema""}, {""id"": 1430, ""name"": ""self sacrifice""}, {""id"": 1560, ""name"": ""dynamite""}, {""id"": 1666, ""name"": ""mexican standoff""}, {""id"": 1956, ""name"": ""world war ii""}, {""id"": 2433, ""name"": ""jew persecution""}, {""id"": 2606, ""name"": ""jew""}, {""id"": 2652, ""name"": ""nazis""}, {""id"": 3260, ""name"": ""masochism""}, {""id"": 4426, ""name"": ""sadism""}, {""id"": 5470, ""name"": ""scalp""}, {""id"": 6538, ""name"": ""winston churchill""}, {""id"": 9851, ""name"": ""knife in hand""}, {""id"": 10144, ""name"": ""anti semitism""}, {""id"": 10292, ""name"": ""gore""}, {""id"": 11105, ""name"": ""swastika""}, {""id"": 11249, ""name"": ""blood bath""}, {""id"": 13519, ""name"": ""german occupation of france""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 163656, ""name"": ""gun violence""}]",en,Inglourious Basterds,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",72.595961,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""A Band Apart"", ""id"": 59}, {""name"": ""The Weinstein Company"", ""id"": 308}, {""name"": ""Zehnte Babelsberg"", ""id"": 6817}, {""name"": ""Visiona Romantica"", ""id"": 6818}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2009-08-18,319131050,153.0,"[{""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}]",Released,Once upon a time in Nazi occupied France...,Inglourious Basterds,7.9,6430
628,70000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]",,857,"[{""id"": 1327, ""name"": ""war crimes""}, {""id"": 1430, ""name"": ""self sacrifice""}, {""id"": 1543, ""name"": ""war veteran""}, {""id"": 1956, ""name"": ""world war ii""}, {""id"": 2770, ""name"": ""war ship""}, {""id"": 3800, ""name"": ""airplane""}, {""id"": 3930, ""name"": ""bravery""}, {""id"": 4299, ""name"": ""normandy""}, {""id"": 4300, ""name"": ""parachute""}, {""id"": 4302, ""name"": ""troops""}, {""id"": 4303, ""name"": ""waffen ss""}, {""id"": 4304, ""name"": ""omaha beach""}, {""id"": 6092, ""name"": ""army""}, {""id"": 7956, ""name"": ""cowardice""}, {""id"": 11108, ""name"": ""american flag""}, {""id"": 11111, ""name"": ""war memorial""}, {""id"": 11371, ""name"": ""deserted town""}, {""id"": 162365, ""name"": ""military""}, {""id"": 207883, ""name"": ""1940s""}]",en,Saving Private Ryan,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",76.041867,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Mutual Film Company"", ""id"": 762}, {""name"": ""Mark Gordon Productions"", ""id"": 11362}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1998-07-24,481840909,169.0,"[{""iso_639_1"": ""cs"", ""name"": ""\u010cesk\u00fd""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Released,The mission is a man.,Saving Private Ryan,7.9,5048
634,63000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://www.warnerbros.com/matrix,603,"[{""id"": 83, ""name"": ""saving the world""}, {""id"": 310, ""name"": ""artificial intelligence""}, {""id"": 312, ""name"": ""man vs machine""}, {""id"": 490, ""name"": ""philosophy""}, {""id"": 530, ""name"": ""prophecy""}, {""id"": 779, ""name"": ""martial arts""}, {""id"": 1430, ""name"": ""self sacrifice""}, {""id"": 1721, ""name"": ""fight""}, {""id"": 3074, ""name"": ""insurgence""}, {""id"": 4563, ""name"": ""virtual reality""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 6256, ""name"": ""truth""}, {""id"": 12190, ""name"": ""cyberpunk""}, {""id"": 187056, ""name"": ""woman director""}, {""id"": 194063, ""name"": ""messiah""}, {""id"": 221385, ""name"": ""gnosticism""}]",en,The Matrix,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",104.309993,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Groucho II Film Partnership"", ""id"": 372}, {""name"": ""Silver Pictures"", ""id"": 1885}, {""name"": ""Warner Bros."", ""id"": 6194}]","[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1999-03-30,463517383,136.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Welcome to the Real World.,The Matrix,7.9,8907
57,180000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",http://disney.go.com/disneypictures/wall-e/,10681,"[{""id"": 9799, ""name"": ""romantic comedy""}]",en,WALL·E,"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.",66.390712,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Pixar Animation Studios"", ""id"": 3}, {""name"": ""FortyFour Studios"", ""id"": 93408}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-06-22,521311860,98.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,An adventure beyond the ordinar-E.,WALL·E,7.8,6296
697,60000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",,37165,"[{""id"": 2147, ""name"": ""claustrophobia""}, {""id"": 3979, ""name"": ""hidden camera""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 10328, ""name"": ""reality show""}, {""id"": 207063, ""name"": ""make believe""}, {""id"": 207064, ""name"": ""pretend""}]",en,The Truman Show,"Truman Burbank is the star of ""The Truman Show"", a 24-hour-a-day ""reality"" TV show that broadcasts every aspect of his life -- live and in color -- without his knowledge. His entire life has been an unending soap opera for consumption by the rest of the world. And everyone he knows -- including his wife and his best friend -- is really an actor, paid to be part of his life.",56.488027,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Scott Rudin Productions"", ""id"": 258}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1998-06-04,264118201,103.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,On the air. Unaware.,The Truman Show,7.8,4537
439,80000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}]",http://www.shutterisland.com/,11324,"[{""id"": 818, ""name"": ""based on novel""}, {""id"": 2041, ""name"": ""island""}, {""id"": 2215, ""name"": ""hurricane""}, {""id"": 5340, ""name"": ""investigation""}, {""id"": 10323, ""name"": ""psychiatric hospital""}, {""id"": 11207, ""name"": ""u.s. marshal""}, {""id"": 11208, ""name"": ""conspiracy theory""}, {""id"": 208611, ""name"": ""1950s""}]",en,Shutter Island,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by his troubling visions and also by a mysterious doctor.",81.914696,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Appian Way"", ""id"": 562}, {""name"": ""Phoenix Pictures"", ""id"": 11317}, {""name"": ""Sikelia Productions"", ""id"": 23243}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2010-02-18,294804195,138.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]",Released,Someone is missing.,Shutter Island,7.8,6336
287,100000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 37, ""name"": ""Western""}]",http://unchainedmovie.com/,68718,"[{""id"": 801, ""name"": ""bounty hunter""}, {""id"": 1701, ""name"": ""hero""}, {""id"": 3136, ""name"": ""plantation""}, {""id"": 3679, ""name"": ""society""}, {""id"": 6054, ""name"": ""friendship""}, {""id"": 9713, ""name"": ""friends""}, {""id"": 9748, ""name"": ""revenge""}, {""id"": 9823, ""name"": ""rivalry""}, {""id"": 10084, ""name"": ""rescue""}, {""id"": 10950, ""name"": ""shootout""}, {""id"": 12425, ""name"": ""racism""}, {""id"": 15017, ""name"": ""danger""}, {""id"": 33780, ""name"": ""dentist""}, {""id"": 160324, ""name"": ""django""}, {""id"": 163129, ""name"": ""dual role""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 187376, ""name"": ""odd couple""}, {""id"": 188772, ""name"": ""black slave""}, {""id"": 202703, ""name"": ""deadly""}, {""id"": 206687, ""name"": ""chases and races""}, {""id"": 207928, ""name"": ""19th century""}]",en,Django Unchained,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",82.121691,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""The Weinstein Company"", ""id"": 308}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-12-25,425368238,165.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]",Released,"Life, liberty and the pursuit of vengeance.",Django Unchained,7.8,10099
