,title,id,vote_count,vote_average,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
1287,The Warlords,14392,83,6.3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1288,Nomad: The Warrior,19495,17,4.3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1289,Snowpiercer,110415,2854,6.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1290,A Monster in Paris,77459,313,6.5,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1291,The Last Shot,26486,15,5.9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1292,The Crow,9495,953,7.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1293,Baahubali: The Beginning,256040,135,7.5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1294,The Time Traveler's Wife,24420,798,6.7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
1295,Because I Said So,1257,191,5.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1296,Frankenweenie,62214,932,6.6,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1297,Serenity,16320,1264,7.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1298,Against the Ropes,8842,32,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1299,Superman III,9531,490,5.3,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1300,Grudge Match,64807,433,6.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1301,Red Cliff,12289,205,7.1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1302,Sweet Home Alabama,11529,394,6.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1303,The Ugly Truth,20943,972,6.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1304,Sgt. Bilko,9099,94,5.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1305,Spy Kids 2: The Island of Lost Dreams,9488,521,5.3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1306,Star Trek: Generations,193,452,6.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1307,The Grandmaster,44865,273,6.3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1308,Water for Elephants,55787,850,6.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1309,Dragon Nest: Warriors' Dawn,257932,19,6.8,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1310,The Hurricane,10400,396,7.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1311,Enough,1957,264,6.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1312,Heartbreakers,10833,254,5.7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1313,Paul Blart: Mall Cop 2,256961,567,5.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1314,Angel Eyes,5852,88,5.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1315,Joe Somebody,12312,40,5.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1316,The Ninth Gate,622,756,6.3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
1317,Extreme Measures,11306,80,5.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1318,Rock Star,12508,190,6.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1319,Precious,25793,417,6.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1320,White Squall,10534,86,6.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1321,The Thing,1091,1588,7.8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
1322,Riddick,87421,2035,6.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1323,Switchback,10871,52,5.8,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1324,Texas Rangers,13503,19,5.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1325,City of Ember,13600,605,6.2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1326,The Master,68722,701,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1327,Virgin Territory,14324,75,4.3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1328,The Express,14325,71,7.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1329,The 5th Wave,299687,1945,5.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1330,Creed,312221,1915,7.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1331,The Town,23168,1468,7.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1332,What to Expect When You're Expecting,76494,594,5.8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1333,Burn After Reading,4944,1222,6.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1334,Nim's Island,10488,330,5.6,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1335,Rush,96721,2277,7.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1336,Magnolia,334,825,7.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1337,Cop Out,23742,511,5.3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1338,How to Be Single,259694,1201,5.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1339,Dolphin Tale,62837,163,6.7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1340,Twilight,8966,3561,5.8,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
1341,John Q,8470,594,7.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1342,Blue Streak,11001,352,6.1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1343,We're the Millers,138832,2972,6.8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1344,The Inhabited Island,16911,23,5.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1345,Breakdown,2163,198,6.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1346,Never Say Never Again,36670,338,5.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1347,Hot Tub Time Machine,23048,894,6.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1348,Dolphin Tale 2,227735,96,6.7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1349,Reindeer Games,2155,173,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1350,A Man Apart,8409,258,5.8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1351,Aloha,222936,692,5.2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1352,Ghosts of Mississippi,31908,40,6.2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1353,Snow Falling on Cedars,10219,32,6.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1354,The Rite,48171,556,5.8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1355,Gattaca,782,1808,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
1356,Isn't She Great,75531,14,4.6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1357,Space Chimps,11802,99,5.2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1358,Head of State,9776,71,5.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1359,The Hangover,18785,6173,7.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1360,Ip Man 3,365222,379,6.5,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1361,Austin Powers: The Spy Who Shagged Me,817,1011,6.2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1362,Batman,268,2096,7.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1363,Batman,268,2096,7.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1364,Batman,2661,203,6.1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1365,Batman,2661,203,6.1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1366,There Be Dragons,45054,27,5.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1367,Lethal Weapon 3,943,811,6.4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1368,The Blind Side,22881,1597,7.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1369,Spy Kids,10054,867,5.5,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1370,Horrible Bosses,51540,2277,6.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1371,True Grit,44264,1668,7.2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1372,The Devil Wears Prada,350,3088,7.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1373,Star Trek: The Motion Picture,152,530,6.2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1374,Identity Thief,109431,1645,5.6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1375,Cape Fear,1598,675,7.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1376,21,8065,1375,6.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1377,Trainwreck,271718,1181,5.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378,Guess Who,11638,225,5.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1379,The English Patient,409,542,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1380,L.A. Confidential,2118,1310,7.7,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1381,Sky High,11459,550,5.8,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1382,In & Out,10806,177,6.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1383,Species,9348,453,5.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1384,A Nightmare on Elm Street,377,1180,7.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1385,The Cell,8843,436,6.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1386,The Man in the Iron Mask,9313,1018,6.3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1387,Secretariat,39486,103,6.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1388,TMNT,1273,345,6.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1389,Radio,13920,141,6.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1390,Friends with Benefits,50544,2237,6.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1391,Neighbors 2: Sorority Rising,325133,1462,5.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1392,Saving Mr. Banks,140823,1226,7.3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1393,Malcolm X,1883,370,7.2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1394,This Is 40,89492,896,5.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1395,Old Dogs,22949,210,5.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1396,Underworld: Rise of the Lycans,12437,1428,6.2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1397,License to Wed,2959,253,5.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1398,The Benchwarmers,9957,242,5.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1399,Must Love Dogs,11648,140,5.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1400,Donnie Brasco,9366,1147,7.4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1401,Resident Evil,1576,2065,6.4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1402,Poltergeist,609,794,7.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1403,The Ladykillers,5516,415,6.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1404,Max Payne,13051,613,5.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1405,In Time,49530,3417,6.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1406,The Back-Up Plan,34806,458,5.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1407,Something Borrowed,49022,296,5.9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1408,Black Knight,11469,287,5.1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1409,The Bad News Bears,23479,97,6.9,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1410,Street Fighter,11667,325,4.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1411,The Pianist,423,1864,8.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1412,The Nativity Story,2447,35,6.4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1413,House of Wax,10066,677,5.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1414,Closer,2288,811,6.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1415,J. Edgar,88794,741,6.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1416,Mirrors,13515,485,6.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
1417,Queen of the Damned,11979,239,5.4,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1418,Predator 2,169,730,5.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1419,Untraceable,8090,238,5.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1420,Blast from the Past,11622,245,6.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1421,Flash Gordon,3604,233,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1422,Jersey Girl,9541,325,5.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1423,Alex Cross,94348,300,5.1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1424,Midnight in the Garden of Good and Evil,8197,157,6.3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1425,Heist,336004,318,5.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1426,Nanny McPhee and the Big Bang,35019,436,6.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1427,Hoffa,10410,81,6.1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1428,The X Files: I Want to Believe,8836,523,5.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
1429,Ella Enchanted,14442,437,5.9,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1430,Concussion,321741,823,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1431,Abduction,59965,961,5.6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1432,Valiant,14175,235,5.2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1433,Wonder Boys,11004,161,6.9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1434,Superhero Movie,11918,379,4.9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1435,Broken City,98357,593,5.7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1436,Cursed,10012,167,5.1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1437,Premium Rush,49526,832,6.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1438,Hot Pursuit,268920,647,5.4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1439,The Four Feathers,9093,159,6.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1440,Parker,119283,1455,5.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1441,Wimbledon,11823,293,6.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1442,Furry Vengeance,35169,149,4.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1443,Bait,118957,191,5.3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1444,Krull,849,129,5.8,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1445,Lions for Lambs,4515,216,6.0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1446,Flight of the Intruder,18886,31,5.7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1447,Walk Hard: The Dewey Cox Story,6575,212,6.6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1448,The Shipping News,6440,108,6.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1449,American Outlaws,13496,55,5.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1450,The Young Victoria,18320,322,7.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1451,Whiteout,22787,220,5.3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1452,The Tree of Life,8967,987,6.5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1453,Knock Off,37498,64,4.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1454,Sabotage,144336,555,5.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1455,The Order,9616,91,4.8,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0
1456,Punisher: War Zone,13056,294,5.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1457,Zoom,14113,135,4.9,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1458,The Walk,285783,1121,6.9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1459,Warriors of Virtue,49478,9,4.7,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1460,A Good Year,9726,357,6.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1461,Radio Flyer,20763,53,6.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1462,Bound by Honor,9702,115,7.7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1463,Smilla's Sense of Snow,9311,60,6.6,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1464,Femme Fatale,9280,142,6.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1465,Lion of the Desert,26843,34,7.4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1466,The Horseman on the Roof,11876,25,6.7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1467,Ride with the Devil,22267,49,6.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
1468,Biutiful,45958,291,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1469,Bandidas,1969,307,5.8,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1470,The Maze Runner,198663,5371,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
1471,Unfinished Business,239573,320,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1472,The Age of Innocence,10436,169,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1473,The Fountain,1381,827,6.8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
1474,Chill Factor,2162,29,5.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1475,Stolen,127493,344,5.1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1476,Ponyo,12429,926,7.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1477,The Longest Ride,228205,1064,7.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1478,The Astronaut's Wife,2900,254,5.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1479,I Dreamed of Africa,21311,18,5.3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1480,Playing for Keeps,77875,240,5.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1481,Mandela: Long Walk to Freedom,192136,224,6.5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1482,Reds,18254,67,7.1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1483,A Few Good Men,881,877,7.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1484,Exit Wounds,10877,110,5.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1485,Big Momma's House,9600,506,5.6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1486,Thunder and the House of Magic,202575,121,6.3,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1487,The Darkest Hour,71469,469,4.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1488,Step Up Revolution,85446,663,6.7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
1489,Snakes on a Plane,326,497,5.1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1490,The Watcher,10685,110,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1491,The Punisher,7220,766,6.1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1492,Goal!: The Dream Begins,9763,238,6.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1493,Safe,72387,799,6.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1494,Pushing Tin,12596,116,5.7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1495,Return of the Jedi,1892,4665,7.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1496,Doomsday,13460,363,5.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1497,The Reader,8055,813,7.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1498,Wanderlust,50647,394,5.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1499,Elf,10719,987,6.4,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1500,Phenomenon,9294,323,6.2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
1501,Snow Dogs,11888,185,5.3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1502,Scrooged,9647,390,6.7,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1503,Nacho Libre,9353,359,5.6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1504,Bridesmaids,55721,1661,6.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1505,This Is the End,109414,2359,6.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1506,Stigmata,10307,242,6.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1507,Men of Honor,11978,544,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1508,Takers,22907,394,6.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1509,The Big Wedding,87567,414,5.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1510,"Big Mommas: Like Father, Like Son",38322,313,5.3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1511,Source Code,45612,2699,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
1512,Alive,7305,374,6.7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1513,The Number 23,3594,1018,6.3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1514,The Young and Prodigious T.S. Spivet,157841,232,6.7,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1515,1941,11519,143,5.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1516,Dreamer: Inspired By a True Story,12920,67,6.3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1517,A History of Violence,59,832,6.9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1518,Transporter 2,9335,1061,6.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
